month_number,facecream,facewash,toothpaste,bathingsoap,shampoo,moisturizer,total_units,total_profit
1,2543,1638,4674,8520,1112,1581,18808,230631
2,2580,1025,4964,4778,2079,1149,19302,174158
3,2383,1297,5204,8331,3611,1228,17394,227190
4,3173,1238,6592,8923,1764,1173,23424,228545
5,3312,1523,4960,7928,1562,1697,20149,206075
6,2864,1632,5097,7128,1915,1455,20820,207110
7,2944,1058,4818,7935,2086,1183,28305,292991
8,3275,1254,5290,9603,3018,1470,37476,378417
9,3690,1789,6274,8419,2051,1897,22954,237148
10,1999,2050,8334,11048,2232,1951,28288,275310
11,2739,1999,7491,13290,2401,2449,40995,451980
12,2760,1732,8299,14986,1863,1849,30313,323502
13,2306,1389,5724,10548,1391,1669,20468,240473
14,2542,1130,4634,6699,2135,1311,19081,181060
15,1955,1313,4597,9947,3981,1476,21560,226186
16,3203,996,6274,8305,1745,1117,18783,214487
17,3415,1664,3953,9208,1489,1512,20460,217865
18,2763,1639,4836,7011,1855,1711,19881,186626
19,3252,1058,5322,9084,1622,927,26863,327555
20,4460,1233,5303,9366,3524,1270,37380,330694
21,3348,1732,6306,8809,1939,1774,24317,274848
22,2179,1838,8812,10227,2368,1791,23766,252141
23,2782,2083,6673,13213,2364,2019,42483,399391
24,2927,1396,7527,14145,1762,1633,27699,236492
25,2503,1366,5001,9442,1188,1465,21521,212740
26,2492,1231,5512,6688,1991,1210,19471,167241
27,2346,1051,4946,11050,3543,1405,24814,223258
28,3500,1049,6066,7247,1959,1206,23654,226474
29,3509,1780,4222,7186,1549,1571,19771,196684
30,2982,1349,5154,7632,1558,1750,22947,195285
31,3146,1138,4432,8939,1797,979,29806,320145
32,3196,1353,6301,10474,2874,1180,34599,393824
33,3148,1781,5684,8283,2134,1596,23593,248804
34,1912,1779,7895,10187,2250,2089,26888,265655
35,2516,2019,6664,12489,2368,2272,42557,432776
36,3242,1857,7441,17623,1716,1840,27154,320789
37,2568,1372,5416,9086,1358,1668,20784,239939
38,3147,1301,5468,6151,2077,1195,18115,204533
39,2077,1217,4173,8642,3418,1372,23745,217681
40,3385,1103,5932,9036,2053,1180,25399,209809
41,3481,1547,4344,7826,1765,1546,18090,228377
42,2913,1401,4949,7168,1943,1644,19118,234075
43,2873,1218,5282,9624,1698,1164,29879,305149
44,4260,1486,6384,9074,2924,1357,35027,338284
45,3388,1788,6538,6987,2028,1764,23380,247457
46,2210,1890,7489,10291,2230,1905,28864,249329
47,2285,1936,6369,15933,2421,2119,37985,421972
48,3099,1816,7919,15871,1789,1723,33223,276103
49,2255,1653,5415,9216,1263,1241,22498,203822
50,2756,1264,5623,5648,2261,1271,21717,193962
51,1809,1498,4567,9329,3379,1307,23546,229861
52,3634,1167,5335,8313,1517,1089,15963,191448
53,4072,1592,4641,7828,1414,1529,20835,192329
54,2923,1776,5111,6954,1844,1627,19360,192951
55,3171,928,4936,9062,1948,1081,29811,332190
56,3595,1490,6256,9053,2892,1493,37389,347041
57,3601,1735,6541,6776,2402,1747,20295,201551
58,2187,2017,7816,10114,2130,2077,21078,265614
59,2464,2092,7408,13189,2275,2075,40293,366011
60,3083,1737,7619,14110,1851,1760,29018,286218
61,2412,1389,4846,8679,1308,1514,21575,198274
62,2534,1168,5723,5999,2349,1165,17504,186640
63,2549,1234,4248,9157,3758,1367,21041,217042
64,3530,1127,5843,8549,1749,1198,21989,182454
65,3859,1639,4599,7458,1783,1620,22068,208248
66,2759,1476,5444,8287,1900,1625,20475,202124
67,2850,982,5411,9487,1730,1159,32202,294151
68,3727,1384,5417,11582,2870,1565,41496,391507
69,3572,1534,5288,7550,2078,1820,24000,210091
70,2271,1825,7802,9694,3056,1794,29688,294379
71,2318,2180,7598,13458,2110,2263,35795,414432
72,2887,2011,7920,12911,1468,1752,30912,293052
73,2591,1336,5357,8770,1157,1559,20110,204539
74,2522,1373,5382,6277,2086,1207,18172,178647
75,2240,1277,4010,8181,3308,1292,22545,218962
76,3293,1234,6740,9115,1867,996,23796,224616
77,3885,1775,5070,8327,1253,1472,21237,223170
78,2911,1536,4702,7728,1996,1508,19255,195502
79,2790,1117,5179,8349,1644,1144,29582,262597
80,3673,1248,6174,9670,2940,1581,40697,352892
81,3800,1915,6501,8873,2045,1810,23920,230117
82,1936,1636,8278,9655,2535,1990,29142,246584
83,2494,1777,7893,13949,2385,1864,38817,405926
84,2639,2041,7531,12904,1619,1734,30892,312156
85,2085,1338,4699,7670,1128,1443,21460,196261
86,2669,1101,5269,5847,2019,1212,20110,169135
87,2120,1328,4664,7406,3271,1316,23031,248107
88,3913,1071,5124,9250,1936,1043,21729,197369
89,4076,1825,4310,8423,1324,1724,19728,199265
90,2873,1370,5451,6570,1966,1543,21494,190007
91,3022,1073,5110,8963,1612,1146,26882,306919
92,4045,1413,5594,10836,3063,1383,37761,379191
93,3229,1824,5613,8108,2011,1782,25638,253093
